"last_modified_date","sign_up","subscription","season_member_page","pickup_site","city","state","zip","balance","payment","issues","status","route_name","payment_plan","discount","future_pending_payments","future_deliveries","first_delivery_date","last_delivery_date","coupon_id","file_date","member_id"
2026-07-30 04:02:22,2017-07-18,"1 Half (Half Share - EVEN week)","Combined CSA","FSB","St. Louis","MO","63104",154.06,"Automatic","Purple","Not on Hold","Fair Shares - Wednesday  - Wednesday","$150",0,0,0,2017-08-16,2026-07-29,NA,2026-08-07,1084
2026-01-02 08:42:53,2025-02-21,"1  (BYO) FSG - Orders Only","Combined CSA","Fair Shares Thursday Pickup","Saint Louis","MO","63109",0,"Automatic","None","Not on Hold","Fair Shares - Thursday - Thursday","Debit on Delivery",0,0,0,2025-02-27,2025-10-02,NA,2026-08-07,140
2026-08-07 02:36:10,2020-08-31,"1 Mini (Weekly Shares)","Combined CSA","FSMini-w","St. Louis","MO","63104",166.33,"Automatic","Green","Not on Hold","Fair Shares - Wednesday  - Wednesday","$150",0,0,0,2020-09-03,2026-08-06,NA,2026-08-07,1474
2026-07-31 02:36:46,2017-07-18,"1  (BYO) FSG - Orders Only","Combined CSA","Fair Shares Thursday Pickup","St. Louis","MO","63139",169.32,"Automatic","None","Not on Hold","Fair Shares - Thursday - Thursday","$600",0,0,0,2017-08-23,2026-07-30,NA,2026-08-07,1771
2026-07-31 02:36:46,2018-12-20,"1 Half (Half Share - EVEN week), 0 2% MILK-e","Combined CSA","FSE","Clayton","MO","63105",85.53,"Automatic","Purple","Not on Hold","Fair Shares - Thursday - Thursday","$600",0,0,0,2018-12-20,2026-07-30,NA,2026-08-07,1864
2026-04-27 09:37:09,2017-07-20,"1  (BYO) FSG - Orders Only","Combined CSA","Fair Shares Thursday Pickup","St. Louis","MO","63119",0,"Automatic","None","Hold","Fair Shares - Thursday - Thursday","Debit on Delivery",0,0,0,2017-08-17,2026-02-26,NA,2026-08-07,76
2024-01-21 10:52:58,2020-05-20,"1  (BYO) FSG - Orders Only","Combined CSA","Fair Shares Wednesday Pickup","St Louis","MO","63109",0,"Automatic","Purple","Not on Hold","Fair Shares - Wednesday  - Wednesday","Debit on Delivery",0,0,0,2020-05-27,2024-01-10,NA,2026-08-07,399
2024-12-05 17:43:33,2017-07-18,"1  (BYO) FSG - Orders Only","Combined CSA","Fair Shares Thursday Pickup","St. Louis","MO","63126",0,"Automatic","None","Not on Hold","Fair Shares - Thursday - Thursday","Debit on Delivery",0,0,0,2017-08-24,2024-01-18,NA,2026-08-07,1730
2026-03-30 10:43:33,2017-07-20,"1 BYO - No Share, Order Only (Weekly Shares)","Combined CSA","Fair Shares Thursday Pickup","St. Louis","MO","63119",0,NA,"None","Hold","Fair Shares - Thursday - Thursday","Debit on Delivery",0,0,0,2017-08-17,2018-03-01,NA,2026-08-07,705
2026-08-07 02:36:10,2024-06-18,"1 Half (Half Share - ODD week)","Combined CSA","FSE","St Louis","MO","63104",233.48,"Automatic","Green Orange","Not on Hold","Fair Shares - Thursday - Thursday","$300",0,0,0,2024-06-27,2026-08-06,NA,2026-08-07,834
